gpu,case_key,batch_size,solve_time_ms,total_lane_iterations,wasted_lane_iterations,min_batch_loop_iterations,max_batch_loop_iterations,wasted_lane_iteration_ratio
NVIDIA GeForce RTX 4070 SUPER,ic_identical_random,5000,3229.9929435830563,284800000,0,712,712,0.0
NVIDIA GeForce RTX 4070 SUPER,ic_identical_random,10000,2129.786452418193,284800000,0,712,712,0.0
NVIDIA GeForce RTX 4070 SUPER,ic_identical_random,25000,1040.6680163927376,284800000,0,712,712,0.0
NVIDIA GeForce RTX 4070 SUPER,ic_identical_random,50000,847.0379773993045,284800000,0,712,712,0.0
NVIDIA GeForce RTX 4070 SUPER,ic_identical_random,100000,798.4974511899054,284800000,0,712,712,0.0
NVIDIA GeForce RTX 4070 SUPER,ic_identical_random,200000,710.6929063796997,284800000,0,712,712,0.0
NVIDIA GeForce RTX 4070 SUPER,ic_identical_random,400000,864.3125101923943,284800000,0,712,712,0.0
NVIDIA GeForce RTX 4070 SUPER,ic_large_random,5000,3288.469011988491,289615000,124533182,723,725,0.42999562177373407
NVIDIA GeForce RTX 4070 SUPER,ic_large_random,10000,2167.4647161737084,289700000,124618182,723,725,0.43016286503279255
NVIDIA GeForce RTX 4070 SUPER,ic_large_random,25000,1062.0672429911792,289850000,124768182,724,725,0.43045776091081595
NVIDIA GeForce RTX 4070 SUPER,ic_large_random,50000,861.920468416065,289950000,124868182,724,725,0.4306541886532161
NVIDIA GeForce RTX 4070 SUPER,ic_large_random,100000,832.8154345974326,290000000,124918182,725,725,0.43075235172413795
NVIDIA GeForce RTX 4070 SUPER,ic_large_random,200000,729.9442949704826,290000000,124918182,725,725,0.43075235172413795
NVIDIA GeForce RTX 4070 SUPER,ic_large_random,400000,895.5097157973796,290000000,124918182,725,725,0.43075235172413795
NVIDIA GeForce RTX 4070 SUPER,ic_large_sorted,5000,1896.1132067721337,166795000,1713182,72,725,0.010271183188944513
NVIDIA GeForce RTX 4070 SUPER,ic_large_sorted,10000,1262.6152665819973,168460000,3378182,86,725,0.020053318295144246
NVIDIA GeForce RTX 4070 SUPER,ic_large_sorted,25000,637.4261680059135,173625000,8543182,123,725,0.04920479193664507
NVIDIA GeForce RTX 4070 SUPER,ic_large_sorted,50000,541.3229266181588,181850000,16768182,171,725,0.09220886444872148
NVIDIA GeForce RTX 4070 SUPER,ic_large_sorted,100000,562.0767885819077,197600000,32518182,259,725,0.1645656983805668
NVIDIA GeForce RTX 4070 SUPER,ic_large_sorted,200000,575.2568160183728,229400000,64318182,422,725,0.2803756843940715
NVIDIA GeForce RTX 4070 SUPER,ic_large_sorted,400000,886.1453279852867,290000000,124918182,725,725,0.43075235172413795
