gpu,case_key,batch_size,solve_time_ms,total_lane_iterations,wasted_lane_iterations,min_batch_loop_iterations,max_batch_loop_iterations,wasted_lane_iteration_ratio
NVIDIA GeForce RTX 4070 SUPER,identical_random,10000,1253.000936936587,53600000,0,134,134,0.0
NVIDIA GeForce RTX 4070 SUPER,identical_random,25000,835.4198238812387,53600000,0,134,134,0.0
NVIDIA GeForce RTX 4070 SUPER,identical_random,50000,738.2090068422258,53600000,0,134,134,0.0
NVIDIA GeForce RTX 4070 SUPER,identical_random,100000,673.289692029357,53600000,0,134,134,0.0
NVIDIA GeForce RTX 4070 SUPER,identical_random,200000,629.9944231286645,53600000,0,134,134,0.0
NVIDIA GeForce RTX 4070 SUPER,identical_random,400000,629.5375141780823,53600000,0,134,134,0.0
NVIDIA GeForce RTX 4070 SUPER,ic_large_random,10000,1287.8237110562623,54890000,12889270,136,140,0.23482000364365094
NVIDIA GeForce RTX 4070 SUPER,ic_large_random,25000,864.7225860040635,55100000,13099270,137,140,0.23773629764065335
NVIDIA GeForce RTX 4070 SUPER,ic_large_random,50000,767.9513969924301,55350000,13349270,137,140,0.24117922312556458
NVIDIA GeForce RTX 4070 SUPER,ic_large_random,100000,702.3053548764437,55600000,13599270,138,140,0.2445911870503597
NVIDIA GeForce RTX 4070 SUPER,ic_large_random,200000,659.1936349868774,55800000,13799270,139,140,0.24729874551971326
NVIDIA GeForce RTX 4070 SUPER,ic_large_random,400000,660.6340811122209,56000000,13999270,140,140,0.2499869642857143
NVIDIA GeForce RTX 4070 SUPER,ic_large_sorted,10000,988.2258540019393,42380000,379270,74,140,0.008949268522888154
NVIDIA GeForce RTX 4070 SUPER,ic_large_sorted,25000,671.5375380590558,42975000,974270,79,140,0.022670622454915648
NVIDIA GeForce RTX 4070 SUPER,ic_large_sorted,50000,607.9407290089875,43850000,1849270,85,140,0.04217263397947549
NVIDIA GeForce RTX 4070 SUPER,ic_large_sorted,100000,576.1292348615825,45600000,3599270,93,140,0.0789313596491228
NVIDIA GeForce RTX 4070 SUPER,ic_large_sorted,200000,579.1571249719709,49000000,6999270,105,140,0.1428422448979592
NVIDIA GeForce RTX 4070 SUPER,ic_large_sorted,400000,661.4219679031521,56000000,13999270,140,140,0.2499869642857143
