gpu,solver_key,solver,dim,compile_time_ms,solve_time_ms,error
NVIDIA GeForce RTX 4070 SUPER,rodas5,pure JAX rodas5.py,4,501.34767685085535,4.5231533935293555,
NVIDIA GeForce RTX 4070 SUPER,rodas5,pure JAX rodas5.py,8,496.17133708670735,7.559269014745951,
NVIDIA GeForce RTX 4070 SUPER,rodas5,pure JAX rodas5.py,16,560.8024399261922,11.98964559007436,
NVIDIA GeForce RTX 4070 SUPER,rodas5,pure JAX rodas5.py,32,520.3746750485152,52.28360390756279,
NVIDIA GeForce RTX 4070 SUPER,rodas5,pure JAX rodas5.py,64,629.8114808741957,124.5896051172167,
NVIDIA GeForce RTX 4070 SUPER,rodas5ckp,Pallas/Triton,4,888.6932281311601,1.2590944999828935,
NVIDIA GeForce RTX 4070 SUPER,rodas5ckp,Pallas/Triton,8,8042.510099010542,2.0790004869922996,
NVIDIA GeForce RTX 4070 SUPER,rodas5ckp,Pallas/Triton,16,,,Too slow
NVIDIA GeForce RTX 4070 SUPER,rodas5ckp,Pallas/Triton,32,,,Too slow
NVIDIA GeForce RTX 4070 SUPER,rodas5ckp,Pallas/Triton,64,,,Too slow
NVIDIA GeForce RTX 4070 SUPER,rodas5ckw,NVIDIA Warp,4,6787.063097115606,2.5066446978598833,
NVIDIA GeForce RTX 4070 SUPER,rodas5ckw,NVIDIA Warp,8,14439.965052064508,9.964221087284386,
NVIDIA GeForce RTX 4070 SUPER,rodas5ckw,NVIDIA Warp,16,20147.0469890628,40.983244008384645,
NVIDIA GeForce RTX 4070 SUPER,rodas5ckw,NVIDIA Warp,32,25898.16119102761,189.5546562038362,
NVIDIA GeForce RTX 4070 SUPER,rodas5ckw,NVIDIA Warp,64,32127.598437014967,1059.4871527981013,
NVIDIA GeForce RTX 4070 SUPER,rodas5ckn,numba-cuda,4,8988.800646970049,1.4119620900601149,
NVIDIA GeForce RTX 4070 SUPER,rodas5ckn,numba-cuda,8,9432.799980975688,2.2052251966670156,
NVIDIA GeForce RTX 4070 SUPER,rodas5ckn,numba-cuda,16,9125.501943053678,9.191293083131313,
NVIDIA GeForce RTX 4070 SUPER,rodas5ckn,numba-cuda,32,10851.93932801485,24.519075406715274,
NVIDIA GeForce RTX 4070 SUPER,rodas5ckn,numba-cuda,64,12633.246283046901,169.2221603123471,
